index,timestamp,respondent,respondent-name,type,type-name,load_mw,value-units,hour,dayofweek,month,year
0,2023-01-01 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,88145,megawatthours,0,6,1,2023
1,2023-01-01 00:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,90038,megawatthours,0,6,1,2023
2,2023-01-01 00:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,92327,megawatthours,0,6,1,2023
3,2023-01-01 00:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4181,megawatthours,0,6,1,2023
4,2023-01-01 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,85805,megawatthours,1,6,1,2023
5,2023-01-01 01:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,88353,megawatthours,1,6,1,2023
6,2023-01-01 01:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,89575,megawatthours,1,6,1,2023
7,2023-01-01 01:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3770,megawatthours,1,6,1,2023
8,2023-01-01 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,83630,megawatthours,2,6,1,2023
9,2023-01-01 02:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,85350,megawatthours,2,6,1,2023
10,2023-01-01 02:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,87405,megawatthours,2,6,1,2023
11,2023-01-01 02:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3776,megawatthours,2,6,1,2023
12,2023-01-01 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,81173,megawatthours,3,6,1,2023
13,2023-01-01 03:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,81746,megawatthours,3,6,1,2023
14,2023-01-01 03:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,84934,megawatthours,3,6,1,2023
15,2023-01-01 03:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3762,megawatthours,3,6,1,2023
16,2023-01-01 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,79095,megawatthours,4,6,1,2023
17,2023-01-01 04:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,78010,megawatthours,4,6,1,2023
